,Precious metal,Energy,Indus metal,Agriculture
2/28/1991,-0.006380469,-0.020583462,0.049948544,0.022213926
3/29/1991,-0.020712317,0.043867071,-0.035249408,0.00093385
4/30/1991,0.002162819,0.033551264,-0.011573214,-0.014360175
5/31/1991,0.015215669,0.008233601,-0.083105513,-0.016525087
6/28/1991,0.027662608,-0.056779232,0.034297328,-0.067801496
7/31/1991,-0.032838118,0.052089278,-0.013356859,0.072457768
8/30/1991,-0.052421958,0.048176578,-0.002663182,-0.008969257
9/30/1991,0.027380329,0.020584253,-0.025707745,0.006774211
10/31/1991,0.001233401,0.03683014,-0.00086046,-0.016787065
11/29/1991,0.0158814,-0.067432929,-5.41934E-05,-0.021079805
12/31/1991,-0.044210215,-0.130116248,-0.016674862,-0.002407698
1/31/1992,0.019198533,-0.005510052,0.040249699,0.022585619
2/28/1992,-0.014394156,-0.021640926,0.040129747,-0.008287846
3/31/1992,-0.023063278,0.05763443,-0.005312728,-0.013937429
4/30/1992,-0.025640854,0.059728665,-0.000711643,-0.038912285
5/29/1992,-0.002038148,0.08599778,0.00937713,0.016652662
6/30/1992,0.014010954,-0.022207117,0.05140804,-0.00799687
7/31/1992,0.023153812,0.058541168,0.008379049,-0.070818843
8/31/1992,-0.046374976,0.000901252,-0.007602534,-0.017137509
9/30/1992,0.008882915,0.059752664,-0.056091298,0.006437951
10/30/1992,-0.020588018,-0.053127906,-0.077652952,0.010639767
11/30/1992,-0.015074976,-0.049833819,-0.013070757,0.033047199
12/31/1992,-0.010457029,-0.022709922,0.01582105,0.002825972
1/29/1993,-0.009891252,0.010621816,-0.022156097,-0.014369471
2/26/1993,-0.009130855,0.04277172,-0.026443387,0.002608414
3/31/1993,0.039595353,0.033476135,-0.021023388,0.017255712
4/30/1993,0.069676549,0.041189135,-0.056618786,-0.008214439
5/31/1993,0.056628005,-0.044874732,-0.042181629,-0.007473596
6/30/1993,-0.005591064,-0.043185428,0.036056035,0.01631542
7/30/1993,0.097249704,-0.047034304,-0.015844803,0.056493897
8/31/1993,-0.090933148,0.021810824,-0.046433016,-0.01189704
9/30/1993,-0.075529362,-0.008999704,-0.086358873,-0.008962012
10/29/1993,0.042890472,-0.081240287,0.016248457,0.0167548
11/30/1993,0.003418376,-0.090143866,0.001166204,0.038512056
12/31/1993,0.077804472,-0.099165947,0.090088451,0.036778817
1/31/1994,-0.022237395,0.119125362,0.05149747,-0.009699637
2/28/1994,0.00745726,-0.044860376,0.010303062,-0.006067583
3/31/1994,0.03581227,-0.005268288,-0.012127555,-0.016176415
4/29/1994,-0.04973084,0.090054916,0.012288498,-0.000610178
5/31/1994,0.026113174,0.029557351,0.089778677,0.04414942
6/30/1994,-0.012366531,0.0584038,0.032842763,-0.010921982
7/29/1994,-0.012466821,0.019785148,0.006684654,-0.026217385
8/31/1994,0.007678072,-0.123678419,0.027916244,0.006213359
9/30/1994,0.019417836,-0.006432556,0.006294701,-0.025590556
10/31/1994,-0.040523394,-0.018871652,0.104328621,-0.003705557
11/30/1994,-0.023953031,-0.043859818,0.076603796,-0.02097224
12/30/1994,-0.002841693,-0.005201856,0.04026041,0.041313601
1/31/1995,-0.032602584,-0.043625261,0.028552714,-0.019716802
2/28/1995,-0.005892524,0.025642695,-0.126623127,0.021310006
3/31/1995,0.063509413,0.049009343,0.050980715,-0.016543676
4/28/1995,0.006024051,0.041189138,-0.031090072,0.01527973
5/31/1995,-0.026798318,-0.025784401,0.011437145,0.006310363
6/30/1995,-0.016680006,-0.082495994,0.034693454,0.019608444
7/31/1995,-0.007862196,0.01192347,0.014263679,0.025355471
8/31/1995,0.0091402,0.018298408,-0.024566937,0.018003691
9/29/1995,0.003192491,-0.019764784,-0.004221269,0.022238979
10/31/1995,-0.009564639,0.004908962,-0.025751655,0.025246397
11/30/1995,-0.001682023,0.047593462,0.005912395,-0.0148096
12/29/1995,-0.003576618,0.128040694,-0.02138976,0.027164878
1/31/1996,0.053357995,0.00597261,-0.018271314,0.01992076
2/29/1996,-0.017652454,0.052359172,-0.008653316,0.002868467
3/29/1996,-0.011167118,0.115041199,0.027209287,0.012769478
4/30/1996,-0.019696553,0.052160114,-0.010037644,0.068118919
5/31/1996,-0.000796169,-0.006248467,-0.022658446,-0.001360099
6/28/1996,-0.042768005,0.086687073,-0.093887603,-0.020122277
7/31/1996,0.017532275,-0.037671079,-0.005082524,-0.042960062
8/30/1996,-0.002537639,0.044516327,0.02230593,0.059491572
9/30/1996,-0.037442349,0.113440114,-0.059965622,-0.049575756
10/31/1996,-0.006051322,0.035770222,0.027416133,-0.071132334
11/29/1996,-0.020429757,0.097351518,0.068273884,0.031152997
12/31/1996,-0.007655285,0.023245826,-0.022400629,-0.006706678
1/31/1997,-0.04603221,-0.036171607,0.071910738,0.039376681
2/28/1997,0.060631789,-0.149269582,0.063129936,0.077812254
3/31/1997,-0.040284373,0.02938366,0.00816328,0.044563205
4/30/1997,-0.047156772,0.009167387,-0.014632286,0.028750521
5/30/1997,0.007199398,0.030048761,0.027217115,-0.014826301
6/30/1997,-0.030608123,-0.060917482,-0.01552234,-0.088994397
7/31/1997,-0.031524483,0.026416268,0.033088557,0.056388957
8/29/1997,0.003590805,0.045196979,-0.041590941,-0.003419642
9/30/1997,0.04889147,0.07144464,-0.021861215,-0.038375741
10/31/1997,-0.078368309,0.026676488,-0.05546714,0.043208642
11/28/1997,-0.014261643,-0.11751241,-0.054726313,0.003160548
12/31/1997,0.008670857,-0.096580173,-0.052838491,-0.049786011
1/30/1998,0.040183851,-0.023743252,-0.013302815,0.008099037
2/27/1998,0.004706586,-0.075693623,-0.042301405,-0.035985426
3/31/1998,0.003162474,0.00901407,0.019812874,-0.029104515
4/30/1998,0.002798136,-0.039954109,0.013707373,-0.027360518
5/29/1998,-0.079087387,-0.046260827,-0.068400971,-0.029560069
6/30/1998,0.026106967,-0.043103567,-0.0629588,0.004641204
7/31/1998,-0.033724426,-0.115775946,0.025319027,-0.081391455
8/31/1998,-0.064685661,-0.075960264,-0.049493419,-0.065418463
9/30/1998,0.08876936,0.179867426,-0.006413418,0.016480688
10/30/1998,-0.027108267,-0.112407564,-0.025466455,0.044019555
11/30/1998,-0.011381262,-0.21489543,0.009163015,-0.011812029
12/31/1998,-0.00920319,-0.017257208,-0.056122684,-0.062696676
1/29/1999,0.001481949,0.006940034,-0.010535664,-0.017037336
2/26/1999,0.016556451,-0.068858415,0.021413509,-0.063233416
3/31/1999,-0.048393168,0.315346024,-0.008986572,0.048607557
4/30/1999,0.035677504,0.073245567,0.121151752,-0.030717851
5/31/1999,-0.069359154,-0.053584018,-0.118141109,-0.021873623
6/30/1999,-0.007158126,0.116919301,0.147057584,-0.040866393
7/30/1999,-0.013605931,0.070543629,0.018754726,-0.035458667
8/31/1999,-0.015505663,0.095432005,0.066451019,0.039186982
9/30/1999,0.144000566,0.060008126,0.029661429,-0.004076888
10/29/1999,-0.015482814,-0.059699,-0.007250922,-0.016735079
11/30/1999,-0.021270018,0.017276387,0.013291462,0.007407544
12/31/1999,0.000231989,0.052671597,0.052398175,-0.018415649
1/31/2000,-0.020401999,0.113497435,-0.005709239,0.043775362
2/29/2000,0.012206377,0.094599686,-0.037386689,-0.029452336
3/31/2000,-0.043182856,-0.012935095,0.008442153,0.046523075
4/28/2000,-0.021600465,0.000498719,-0.012747856,-0.038589731
5/31/2000,-0.00963128,0.211025061,-0.015230283,-0.00978852
6/30/2000,0.050347251,0.099106544,0.007000303,-0.07799933
7/31/2000,-0.039816094,-0.109526548,0.018823714,-0.038694743
8/31/2000,-0.005475088,0.223467924,0.032103233,0.022305992
9/29/2000,-0.018612659,-0.01130034,0.005083831,0.001503473
10/31/2000,-0.037112778,-0.01575085,-0.081451651,-0.024757113
11/30/2000,0.008157243,0.161439766,0.001639842,0.022905466
12/29/2000,-0.005005587,-0.000764623,-0.00259029,0.0033181
1/31/2001,-0.013561366,-0.045749553,0.015022524,-0.045097704
2/28/2001,-0.01683442,-0.006353736,-0.034805499,0.004564065
3/30/2001,-0.040760705,-0.023561129,-0.060901968,-0.06230591
4/30/2001,0.016731715,0.067507249,0.03132199,0.004076631
5/31/2001,0.007171975,-0.048906613,-0.01103261,-0.021957535
6/29/2001,0.006571164,-0.126035129,-0.066603822,0.005335724
7/31/2001,-0.018051475,0.001019564,-0.047349526,0.051870102
8/31/2001,0.017684782,-0.008417455,-0.01839645,-0.029782215
9/28/2001,0.073972936,-0.138137775,-0.066391022,-0.067711256
10/31/2001,-0.057320563,-0.026503211,-0.049058637,-0.02758553
11/30/2001,-0.022323222,-0.112098684,0.136868885,0.023046851
12/31/2001,0.035023018,-0.016032078,-0.053581405,-0.033802289
1/31/2002,-0.009200888,-0.056881498,0.060311293,0.003552034
2/28/2002,0.053757196,0.077849879,-0.00178354,-0.011758733
